"","Area","Element","Unit","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Mean"
"1","Afghanistan","Calories/Year","Kcal",571916.36,571458.44,608449.63,617964.92,857334.59,759911.34,762287.05,731439.12,744459.3,737081.07,729570.42,772748.4,780963.2,711198.756923077
"2","Algeria","Calories/Year","Kcal",1593347.39,1774902.84,1837088.73,2031118.75,2131020.34,1771874.5,1705458.67,1614729.34,1514259.82,1502781.24,1463587.82,1460994.96,1475966.89,1682856.25307692
"3","Angola","Calories/Year","Kcal",103032.69,97363.77,99477.61,104523.77,120746.86,118430.85,114849.73,112871.61,120800.99,117446.72,114760.55,119668.23,123382.61,112873.537692308
"4","Armenia","Calories/Year","Kcal",261422,259718,294579,301253,313098.95,337627.79,336034.87,355506.44,306010,305704.34,269871,305512.74,287835.05,302628.706153846
"5","Australia","Calories/Year","Kcal",1563775,1362064,1772945.09,1910177.89,1777331.71,1890838.33,1933014.99,1886593.54,1913810.77,2050075.4,2047103.09,2059659.25,1526500,1822606.85076923
"6","Austria","Calories/Year","Kcal",62089.5,56987.44,53737.06,54400.91,64802.15,50154.25,56731.3,50208.99,60732.73,46561.09,47704.19,46789,52473.97,54105.5830769231
"7","Azerbaijan","Calories/Year","Kcal",488622,525400,535041.8,550068.95,606240.98,633400.39,660799.79,652563.92,684931.76,709196.42,716042.33,678993.87,748277.85,629967.696923077
"8","Belgium","Calories/Year","Kcal",401378.62,320210,319500,390500,579716.04,607574.61,623528.75,617799.72,512601.32,495580,510888.21,493225.95,492685.8,489629.924615385
"9","Botswana","Calories/Year","Kcal",170652.05,173873.32,176524.46,180326.51,176483.43,190155.02,181622.8,138892.22,173656.07,163700.31,161271.77,129616.38,125740.58,164808.84
"10","Brazil","Calories/Year","Kcal",15191208.29,15878620.83,15980468.02,16944743.58,17192170.38,16673651.61,16620822.29,15993673.21,16459066.28,17705937.75,17972676.19,17717117.22,17452236.36,16752491.6930769
"11","Cambodia","Calories/Year","Kcal",18077.87,17855.8,17714.01,19242.31,19558.3,18326,19107.19,30246,32163,17366.7,20235,23197.84,21647.11,21133.6253846154
"12","Cameroon","Calories/Year","Kcal",113939.82,115281.21,117373.86,120558.69,125899.56,117111.82,113357.06,113325.58,113358.17,116899.24,123185,144319.66,133876.93,120652.815384615
"13","Canada","Calories/Year","Kcal",189225.35,65566.17,0,0,0,88805.04,127137.64,132627.93,161630.02,75604.03,118704.77,121197.38,170901.6,96261.5330769231
"14","Chile","Calories/Year","Kcal",93759.83,97083.13,98183.03,62467.18,79572.6,66911.78,67260.21,69311.89,44020,74953.03,81873.08,71903.46,70337.27,75202.8069230769
"15","China","Calories/Year","Kcal",22400324.41,22932727.65,23491460.4,22250616.28,23524044.26,20230270.56,19604150.01,19445860.88,19704773.72,20578888.21,22119248.5,23732199.29,22839521.44,21758006.5853846
"17","Taiwan","Calories/Year","Kcal",221190.14,231669.26,228854.65,237680.06,246024.4,255528.57,263345.14,276106.91,311127.92,315959.12,323841.72,324168.53,330593.74,274314.627692308
"18","Colombia","Calories/Year","Kcal",2970118.26,2983744.43,3151565.17,3229843.92,3232771.82,3246971.77,3120347.02,3159266.79,3251607.69,3265258.96,3381347.79,3381848.65,3550105.41,3224984.43692308
"19","Cyprus","Calories/Year","Kcal",61699,63687,63403,61553.94,62269.44,57172.5,54833.71,49855.28,46150,65684.23,76325,78846.17,79336.43,63139.6692307692
"20","Czech Republic","Calories/Year","Kcal",71000,56800,113600,113600,165054.85,179858,185769.19,182120.87,128555.06,146278.51,133792.91,106500,102950,129683.03
"21","Democratic Republic of the Congo","Calories/Year","Kcal",7354.18,7411.69,8121.69,8476.69,8704.95,6090.42,6229.44,6005.07,6459.33,7240.13,6669.31,7256.22,9336.83,7335.07307692308
"22","Denmark","Calories/Year","Kcal",77354.5,150666.97,116404.5,146402,154115.3,218394.44,192093.93,110087.19,138042.3,110174.57,215597.9,180925.92,163070.03,151794.580769231
"23","Egypt","Calories/Year","Kcal",616875.79,642092.05,650238.28,597559.17,533178.96,562348.58,532122.5,610905.09,631876.4,823134.24,952820.34,1025928.44,930166.27,700711.239230769
"24","Estonia","Calories/Year","Kcal",106500,99400,102950,105790,89472.72,94087.06,84602.11,85686.28,96462.29,81640.15,84202.16,83667.57,85150.9,92277.7876923077
"25","Ethiopia","Calories/Year","Kcal",2418630.71,1984654.01,2267850.85,2086078.95,1990332.92,1907482.02,1868095.85,1847744.12,1907356.7,2321742.12,2797098.23,2304271.75,2474462.18,2167369.26230769
"26","Finland","Calories/Year","Kcal",457994.73,458789.93,446704.31,466934.34,428130,317654,368135,357840,355730.42,352036.32,353580,340445,321630,386584.926923077
"27","France","Calories/Year","Kcal",573068.97,819166.31,645465.97,574515.67,762707.4,713287.54,855685.85,806940.91,737086.42,284000,284000,445760.11,272317.16,598000.177692308
"29","Gabon","Calories/Year","Kcal",10508.64,10861.45,11560.37,11477.64,12158.04,12230.62,11839.56,11429.79,9564.09,11327.26,11758.95,9516.98,9641.14,11067.2715384615
"30","Germany","Calories/Year","Kcal",3429743.75,3411621.71,2785090.29,2949065.18,3140467.86,2991882.41,2993496.51,3622884.35,3101022.01,2485000,2485000,2437384.33,2460632.14,2945637.73384615
"31","Ghana","Calories/Year","Kcal",25203.97,27528.7,26485.45,28116.59,28593.12,29713.5,30126.01,32695.5,31505.69,32359.23,32578.85,34676.46,35231.36,30370.3407692308
"32","Greece","Calories/Year","Kcal",357568.84,294997.06,227906.05,217294.97,221522.66,266544.37,247288.17,249291.6,218000.53,160547.13,149254.39,153468.76,148637.44,224024.766923077
"33","Hungary","Calories/Year","Kcal",390500,394050,372750,355000,354091.48,346956.97,334403.73,325355.81,365138.82,341109.86,298200,312400,313661.9,346432.197692308
"34","India","Calories/Year","Kcal",36231014.56,38103523.08,39437981.55,41008217.41,43597700.11,48559621.03,51270662.48,54631348.31,59234034.32,63721766.39,71411805.93,71412568.11,71409222.54,53079189.6784615
