"","Area","Element","Unit","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Mean"
"1","Afghanistan","Food supply quantity (g/capita/day)","g/cap/d",78.29,75.39,77.06,75.6,101.12,86.87,84.93,79.19,78.3,75.3,72.24,74.36,73.27,79.3784615384615
"2","Algeria","Food supply quantity (g/capita/day)","g/cap/d",171.47,187.42,190.25,206.25,212.15,172.91,163.14,151.47,139.37,135.79,129.98,127.61,126.84,162.665384615385
"3","Angola","Food supply quantity (g/capita/day)","g/cap/d",17.02,15.49,15.24,15.43,17.18,16.25,15.2,14.42,14.91,14.01,13.25,13.38,13.38,15.0123076923077
"4","Armenia","Food supply quantity (g/capita/day)","g/cap/d",342.39,342.16,390.03,400.66,418.06,452.59,452.46,481.01,416.29,418.22,371.17,422.4,399.46,408.223076923077
"5","Australia","Food supply quantity (g/capita/day)","g/cap/d",274.05,235.09,300.99,318.93,292.22,306.31,308.28,296.05,295.64,311.97,307.72,306.61,225.02,290.683076923077
"6","Austria","Food supply quantity (g/capita/day)","g/cap/d",28.65,26.21,24.6,24.76,29.26,22.39,25.06,22.02,26.51,20.23,20.67,20.24,22.65,24.0961538461538
"7","Azerbaijan","Food supply quantity (g/capita/day)","g/cap/d",204.12,216.63,217.66,220.77,240.13,247.8,255.59,250.02,260.33,267.44,268.65,254.06,278.76,244.766153846154
"8","Belgium","Food supply quantity (g/capita/day)","g/cap/d",142.38,112.78,111.76,135.71,200.15,208.43,212.61,209.4,172.77,166.14,170.51,163.91,163.11,166.896923076923
"9","Botswana","Food supply quantity (g/capita/day)","g/cap/d",314.82,314.4,313.12,313.83,301.28,318.31,297.92,223.14,273.35,252.7,244.39,193.23,184.47,272.689230769231
"10","Brazil","Food supply quantity (g/capita/day)","g/cap/d",298.54,309.16,308.36,324.14,326.06,313.56,310.05,295.99,302.2,322.61,325.3,318.98,312.77,312.901538461538
"11","Cambodia","Food supply quantity (g/capita/day)","g/cap/d",4.86,4.73,4.62,4.95,4.96,4.59,4.72,7.37,7.74,4.13,4.76,5.4,4.98,5.21615384615385
"12","Cameroon","Food supply quantity (g/capita/day)","g/cap/d",22.12,21.75,21.53,21.5,21.79,19.64,18.45,17.93,17.44,17.5,17.94,20.48,18.51,19.7369230769231
"13","Canada","Food supply quantity (g/capita/day)","g/cap/d",21.5,7.37,0,0,0,9.59,13.58,14,16.84,7.78,12.09,12.26,17.15,10.1661538461538
"14","Chile","Food supply quantity (g/capita/day)","g/cap/d",21.28,21.81,21.85,13.77,17.36,14.45,14.35,14.56,9.08,15.19,16.37,14.23,13.85,16.0115384615385
"15","China","Food supply quantity (g/capita/day)","g/cap/d",62.68,63.76,64.86,61.01,64.08,54.77,52.77,52.04,52.48,54.62,58.58,62.81,60.45,58.8392307692308
"17","Taiwan","Food supply quantity (g/capita/day)","g/cap/d",36.98,38.63,38.01,39.31,40.53,41.94,43.07,45.02,50.6,51.28,52.46,52.43,53.39,44.8961538461538
"18","Colombia","Food supply quantity (g/capita/day)","g/cap/d",255.73,254.11,265.63,269.55,267.25,265.9,252.82,252.13,254.63,251.06,256.19,253.31,264.08,258.645384615385
"19","Cyprus","Food supply quantity (g/capita/day)","g/cap/d",210.75,214.62,211.54,203.54,204.15,185.82,176.64,159.19,146.11,206.26,237.99,244.54,244.62,203.520769230769
"20","Czech Republic","Food supply quantity (g/capita/day)","g/cap/d",26.18,20.88,41.7,41.69,60.56,65.95,68.09,66.73,47.09,53.57,49.02,39.1,37.86,47.5707692307692
"21","Democratic Republic of the Congo","Food supply quantity (g/capita/day)","g/cap/d",0.43,0.42,0.44,0.45,0.44,0.3,0.3,0.27,0.29,0.31,0.28,0.29,0.36,0.352307692307692
"22","Denmark","Food supply quantity (g/capita/day)","g/cap/d",53.77,104.27,80.2,100.43,105.24,148.43,129.89,74.04,92.37,73.35,142.81,119.26,106.97,102.386923076923
"23","Egypt","Food supply quantity (g/capita/day)","g/cap/d",27.28,27.78,27.5,24.69,21.52,22.21,20.58,23.16,23.5,30.07,34.21,36.23,32.34,27.0053846153846
"24","Estonia","Food supply quantity (g/capita/day)","g/cap/d",308.64,288.95,300.34,309.73,262.65,276.16,248.08,250.95,281.53,237.39,244.4,242.98,247.78,269.198461538462
"25","Ethiopia","Food supply quantity (g/capita/day)","g/cap/d",104.59,83.41,92.65,82.91,77,71.83,68.46,65.9,66.23,78.51,92.1,73.92,77.39,79.6076923076923
"26","Finland","Food supply quantity (g/capita/day)","g/cap/d",329.52,328.57,318.39,331.28,302.49,223.7,258.51,250.69,248.88,246.02,246.75,237.3,223.99,272.776153846154
"27","France","Food supply quantity (g/capita/day)","g/cap/d",35.41,50.35,39.49,35,46.28,43.13,51.6,48.54,44.25,17.02,17,26.65,16.26,36.2292307692308
"29","Gabon","Food supply quantity (g/capita/day)","g/cap/d",23.7,23.65,24.29,23.28,23.85,23.27,21.9,20.61,16.84,19.49,19.79,15.69,15.57,20.9176923076923
"30","Germany","Food supply quantity (g/capita/day)","g/cap/d",162.74,161.68,131.79,139.32,148.04,140.67,140.3,169.2,144.35,115.32,115.07,112.76,113.89,138.086923076923
"31","Ghana","Food supply quantity (g/capita/day)","g/cap/d",3.8,4.05,3.81,3.94,3.91,3.97,3.93,4.17,3.94,3.96,3.91,4.08,4.06,3.96384615384615
"32","Greece","Food supply quantity (g/capita/day)","g/cap/d",125.05,103.44,80.21,76.82,78.69,95.18,88.77,89.97,79.11,58.59,54.79,56.7,55.23,80.1961538461538
"33","Hungary","Food supply quantity (g/capita/day)","g/cap/d",150.88,152.77,144.96,138.44,138.46,136,131.47,128.25,144.12,134.7,118.01,124.15,121.43,135.664615384615
"34","India","Food supply quantity (g/capita/day)","g/cap/d",112.69,116.91,119.41,122.56,128.69,141.65,147.79,155.67,166.96,177.78,197.34,195.77,194.44,152.127692307692
"35","Iran","Food supply quantity (g/capita/day)","g/cap/d",36.09,36.81,37.66,38.54,40.45,27.82,28.69,32.05,31.71,31.37,34.31,33.69,34.09,34.0984615384615
"36","Iraq","Food supply quantity (g/capita/day)","g/cap/d",9.45,9.4,9.11,8.88,8.87,11.61,11.62,11.25,10.95,10.99,8.02,8.75,8.1,9.76923076923077
"37","Ireland","Food supply quantity (g/capita/day)","g/cap/d",234.8,170,154.7,179.49,207.46,234.88,261.44,275.59,234.61,231.54,179.34,302.18,316.35,229.413846153846
"38","Israel","Food supply quantity (g/capita/day)","g/cap/d",185.68,196.23,193.91,193.25,202.14,186.35,196.36,195.56,201.03,192.35,197.43,196.68,195.3,194.79
"39","Italy","Food supply quantity (g/capita/day)","g/cap/d",79.93,81.01,81.19,70.38,64.19,64.34,61.46,63.57,62.23,80.25,69.07,71.24,71.54,70.8
"40","Japan","Food supply quantity (g/capita/day)","g/cap/d",116.91,117.92,118.15,115.87,117.04,115.74,115.31,117.38,118.25,117.39,108.33,109.81,108.02,115.086153846154
"41","Jordan","Food supply quantity (g/capita/day)","g/cap/d",80.18,86.78,86.65,79.97,74.29,74.41,72.47,74.84,1.08,3.12,0.01,0.9,6.69,49.3376923076923
"42","Kazakhstan","Food supply quantity (g/capita/day)","g/cap/d",634.78,613.32,616.62,620.33,607.36,606.75,636.49,635.76,638.23,640.83,617.06,647.27,652.47,628.251538461538
"43","Kenya","Food supply quantity (g/capita/day)","g/cap/d",172.94,171.26,168.71,162.65,145.45,146.31,171.33,147.85,155.22,161.61,158,176.88,158.14,161.257692307692
"44","Kuwait","Food supply quantity (g/capita/day)","g/cap/d",48.86,41.99,45.73,9.6,14.16,44.59,45.53,50.08,24.61,53.06,25.25,28.11,30.84,35.57
"45","Lebanon","Food supply quantity (g/capita/day)","g/cap/d",54.84,67.88,66.13,73.33,61.74,60.54,52.97,52.15,52.95,54.49,69.06,68.24,68.43,61.75
"46","Malawi","Food supply quantity (g/capita/day)","g/cap/d",7.93,8.35,8.84,7.55,9.78,7.77,8.8,8.83,8.09,8.45,8.39,8.39,8.26,8.41769230769231
"47","Malaysia","Food supply quantity (g/capita/day)","g/cap/d",4.51,4.5,4.58,6.41,6.37,6.71,3.91,4.16,4.17,4.38,4.53,4.62,4.6,4.88076923076923
"48","Mexico","Food supply quantity (g/capita/day)","g/cap/d",157.73,155.19,156.25,155.86,155.87,157.84,159.1,159.4,161.19,165.67,165.66,173.51,175.81,161.467692307692
"49","Mongolia","Food supply quantity (g/capita/day)","g/cap/d",12.31,25.02,41.11,72.03,128.83,171.24,243.54,253.17,255.79,202.7,184.84,212.04,284.83,160.573076923077
"50","Morocco","Food supply quantity (g/capita/day)","g/cap/d",41.64,43.99,44.04,41.76,45.18,45.54,45.88,46.27,56.54,42.3,44.77,46.47,37.02,44.7230769230769
"51","Mozambique","Food supply quantity (g/capita/day)","g/cap/d",8.89,8.84,8.89,8.89,8.47,8.41,8.23,12.17,13.13,7.49,0.23,0.93,0.6,7.32076923076923
"52","Myanmar","Food supply quantity (g/capita/day)","g/cap/d",21.52,22.34,26.89,28.92,32.15,34.98,35.68,35.91,36.59,37.98,13.02,13,12.9,27.0676923076923
"53","Namibia","Food supply quantity (g/capita/day)","g/cap/d",115.7,114.55,117.54,118.32,104.01,102.84,111.2,107.58,101.37,104.52,103.11,104.51,99.21,108.035384615385
"54","Netherlands","Food supply quantity (g/capita/day)","g/cap/d",209.01,237.11,256.13,278.04,221.61,214.74,226.16,222.17,224.69,157.79,157.14,158.91,171.58,210.390769230769
"55","New Zealand","Food supply quantity (g/capita/day)","g/cap/d",70.04,70.03,70.17,70.21,62.84,63.53,61.56,59.64,62.04,58.06,59.01,59.8,53.6,63.1176923076923
"56","Niger","Food supply quantity (g/capita/day)","g/cap/d",31.07,29.16,30.36,27.64,28.25,32.64,33.11,33.52,34.33,35.16,35.85,32.65,28.58,31.7169230769231
"57","Nigeria","Food supply quantity (g/capita/day)","g/cap/d",3.5,4.31,4.22,4.13,4.14,3.55,3.43,3.35,3.3,3.25,3.22,3.12,3.06,3.58307692307692
"58","Norway","Food supply quantity (g/capita/day)","g/cap/d",103.23,93.45,121.66,110.92,131.18,98.71,68.01,109.02,100.36,89.94,107.14,108.41,86.44,102.19
"59","Oman","Food supply quantity (g/capita/day)","g/cap/d",68.42,56.54,56.06,72.34,65.41,67.8,71.46,54.41,51.81,52.98,112.45,108.12,101.97,72.29
"60","Pakistan","Food supply quantity (g/capita/day)","g/cap/d",168.97,162.95,166.06,167.84,180.86,168.53,182.61,186.95,191.04,205.44,199.06,201.47,203.1,183.452307692308
"61","Papua New Guinea","Food supply quantity (g/capita/day)","g/cap/d",1.76,1.71,2.62,2.55,2.73,2.62,3.06,2.43,2.06,1.98,1.95,0.43,1.84,2.13384615384615
"62","Poland","Food supply quantity (g/capita/day)","g/cap/d",63.84,61.85,65.83,65.87,61.94,62.59,62.63,62.18,64.81,56.02,57.15,57.51,56.6,61.4476923076923
"63","Portugal","Food supply quantity (g/capita/day)","g/cap/d",56.21,52.93,55.61,55.57,46.38,53.07,53.12,36.57,42.96,37.14,29.26,21.33,19.45,43.0461538461538
"64","South Korea","Food supply quantity (g/capita/day)","g/cap/d",15.51,9.54,15.53,14.97,13,15.27,13.91,13.7,17.45,12.09,14.24,13.82,13.5,14.0407692307692
"65","Russia","Food supply quantity (g/capita/day)","g/cap/d",302.3,297.63,282.39,260.75,254.06,250.68,260.38,260.22,266.72,273,280.99,271.89,266.23,271.326153846154
"66","Rwanda","Food supply quantity (g/capita/day)","g/cap/d",21.77,22.35,22.02,21.63,16.7,19.26,17.31,16.15,16.08,17.09,19.73,17.85,16.72,18.82
"67","Saudi Arabia","Food supply quantity (g/capita/day)","g/cap/d",14.77,15.1,29.65,5.12,33.95,12.53,10.04,16.4,14.95,15.52,17.9,17.45,16.66,16.9261538461538
