Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","3.85","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0.85","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","3","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","1.56","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","300.03","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","300.03","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","156.02","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","689.93","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","535.93","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","154","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","80.08","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","110.13","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","0.27","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","109.86","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","032","Argentina","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","653.52","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","032","Argentina","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","653.52","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","051","Armenia","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","203.03","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","051","Armenia","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","203.03","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","051","Armenia","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","105.58","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","036","Australia","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","3008.76","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","036","Australia","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","416.55","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","036","Australia","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","036","Australia","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","2592.21","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","036","Australia","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","1347.95","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","040","Austria","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","2753.99","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","040","Austria","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","2888.46","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","040","Austria","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","040","Austria","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","031","Azerbaijan","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","237.28","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","031","Azerbaijan","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","237.28","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","031","Azerbaijan","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","123.38","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","044","Bahamas","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","2.42","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","044","Bahamas","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0.33","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","044","Bahamas","5164","Tourist consumption","22290","Dairy products n.e.c.","2022","2022","t","0.4","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","044","Bahamas","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","1.69","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","044","Bahamas","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0.88","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","048","Bahrain","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","1128.78","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","048","Bahrain","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","0.08","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","048","Bahrain","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","1128.7","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","048","Bahrain","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","586.93","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","050","Bangladesh","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","892.78","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","050","Bangladesh","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","239.48","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","050","Bangladesh","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","653.29","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","050","Bangladesh","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","339.71","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","052","Barbados","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","052","Barbados","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","112","Belarus","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","11797.67","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","056","Belgium","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","24339.67","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","056","Belgium","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","27503.48","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","056","Belgium","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","056","Belgium","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","084","Belize","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","0.18","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","084","Belize","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","084","Belize","5164","Tourist consumption","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","084","Belize","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0.18","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","084","Belize","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0.09","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","204","Benin","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","6.99","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","204","Benin","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0.63","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","204","Benin","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","6.36","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","204","Benin","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","3.31","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","064","Bhutan","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","064","Bhutan","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0","I","Imputed value",""
