"","Country","Group","Preval_primary","95_CI_min_primary","95_CI_max_primary","pop_under15","pop_under65","pop_above65_rate","agr_land_perc","docs_per_1000","GDP","pop_hist","health_exp","life_exp","jan_temp","feb_temp","mar_temp","apr_temp","may_temp","jun_temp","jul_temp","aug_temp","sep_temp","oct_temp","nov_temp","dec_temp","avg_temp","CM_cal_mean","CM_fsq_mean"
"1","Afghanistan","Asia",0.82,0.79,0.86,8714228.328125,9615547.640625,2.446440631,12.19,0.254,1968.341,40000411,11.153,47.9150435483871,-1.80613405868,0.42535786136,6.05334312933333,12.5702747333333,18.1995255733333,22.8006975866667,24.87217204,23.3918245733333,18.9666606266667,12.7062418333333,5.92333104533333,0.65867823672,12.0634977650611,711198.756923077,79.3784615384615
"2","Algeria","Northern Africa",0.62,0.54,0.7,9480953.125,15601574.140625,4.02992057295312,3.27,1.732,11725.878,44761101,5.05318181818182,61.4175596774194,11.5535147466667,14.4430269866667,18.4524815866667,22.8779796666667,27.4961933733333,31.8336282666667,33.8250828533333,33.15546936,29.79568532,23.9541427866667,17.07726434,12.3164149066667,23.0650736827778,21133.6253846154,5.21615384615385
"3","Angola","Africa (southern, eastern, western)",0.94,0.91,0.97,6962687.015625,7842682.125,2.5618688443125,2.99,0.211,6878.59,34532427,2.96272727272727,46.6756419354839,22.01496748,22.1726159333333,22.0833106533333,22.0395176666667,21.5159506133333,19.7900712266667,19.6425019866667,21.4917799866667,23.2883652533333,23.41822568,22.14074128,21.7956227733333,21.7828058777778,21758006.5853846,58.8392307692308
"4","Armenia","Eastern Europe",0.98,0.96,1,835134.453125,1865355.78125,7.7131423393125,17.57,0,0,0,8.48363636363636,68.2780822580645,-6.53042741786667,-4.84575827826667,-0.28516773116,5.60036356133333,10.4772025266667,14.6860298933333,17.7513019733333,17.6830520533333,13.8401253,7.97095456933333,1.29629450333333,-4.10388419093333,6.12834056353667,53079189.6784615,152.127692307692
"5","Australia","Oceania",0.44,0.35,0.53,3912814.390625,11572791.234375,11.5119219679063,2.85,4.102,48651.734,25956416,8.90954545454546,76.9936032258065,28.07297492,27.3294054533333,25.7065441333333,22.42466784,18.18902244,15.10537206,14.4048373333333,16.3028977666667,19.90685668,23.3157688533333,25.4018677733333,27.02404152,21.9320213977778,727244.638461538,34.0984615384615
"6","Austria","Europe (western, southern, northern)",0.22,0.19,0.25,1455609.390625,5216044,15.612105536875,18.58,5.459,53817.305,8967053,10.105,75.6263774193548,-3.87459489173333,-2.1918659114,1.53399212788,5.77923035866667,10.4151665053333,14.1012268133333,15.9611716933333,15.5381759133333,11.7657498066667,6.94702214933333,1.329295668676,-2.71874811406667,6.215485176613,3776942.61153846,115.086153846154
"7","Azerbaijan","Eastern Europe",0.96,0.91,1.01,2288440.671875,4574374.75,5.13088162876562,25.83,3.111,14442.041,10234373,3.25363636363636,63.5713274193548,-0.115779892033333,1.12095015854667,4.96272255466667,10.7699754893333,16.08503158,20.7599830933333,23.7349499733333,23.3666027066667,18.8742678666667,12.8935890733333,6.632736664,1.88986540274667,11.7479078892161,39675.2092307692,4.88076923076923
"8","Belgium","Europe (western, southern, northern)",0.15,0.13,0.17,1968562,6665242.78125,15.5452856845312,28.41,6.257,52174.906,11570842,9.95,75.765885483871,2.48278222026667,3.021924709,5.770578136,8.70080418666667,12.65478306,15.61217646,17.3807187066667,17.1491933266667,14.3177925733333,10.60135212,6.059034188,3.4216310332,9.76439755998333,131094.258461538,160.573076923077
"9","Botswana","Africa (southern, eastern, western)",0.88,0.78,0.98,562889.625,817609.28125,3.32322313271875,0.6,0.348,14961.831,2401449,6.08181818181818,57.6277241935484,25.7176616933333,25.0649273733333,24.1817899333333,21.69612336,18.1702845333333,14.79296944,14.6321529866667,17.7868562266667,22.28796268,25.3049382933333,25.37214876,25.43469204,21.7035422766667,362761.630769231,27.0676923076923
"10","Brazil","America",0.6,0.58,0.62,46667530.15625,95339036.5625,5.17781231523437,6.32,2.142,14735.582,209550291,8.60590909090909,65.473585483871,25.03888228,24.98532508,24.8411517333333,24.4183256933333,23.7145552133333,23.2389168533333,23.2850392133333,24.4638638933333,25.51661728,25.8132916933333,25.1095741333333,24.8872891866667,24.6094026877778,10236853.9907692,183.452307692308
