Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Code,Month,X2024,X2023,X2022,X2021,X2020,X2019,X2018,X2017,X2016,X2015,X2014,X2013,X2012,X2011,X2010,X2009,X2008,X2007,X2006,X2005,X2004,X2003,X2002,X2001,X2000,X1999,X1998,X1997,X1996,X1995,X1994,X1993,X1992,X1991,X1990,X1989,X1988,X1987,X1986,X1985,X1984,X1983,X1982,X1981,X1980,X1979,X1978,X1977,X1976,X1975,X1974,X1973,X1972,X1971,X1970,X1969,X1968,X1967,X1966,X1965,X1964,X1963,X1962,X1961,X1960,X1959,X1958,X1956,X1954,X1952,X1957,X1955,X1953,X1951,X1950
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,1,3.3000636,-4.335608,-0.32285905,-1.0016085,-2.5605452,0.5851455,1.0424706,-0.44343877,1.1088194,0.7683508,-0.43424863,-1.6901587,-2.9558876,-0.510904,1.3988854,-0.7170767,-6.8392425,-2.1121404,-2.2725227,-2.9996283,1.0159215,1.0189767,0.085590415,-2.1307938,-0.5807948,-0.39341983,-1.9598348,-0.90033704,-4.039368,-1.6822687,-0.89539844,-4.276977,-1.40625,-2.5275924,-1.0078061,-4.308908,-0.4199985,0.30684212,-2.1803348,-1.9298768,-3.27355,-2.20942,-1.6921563,-1.2147572,-2.697017,-0.8197807,-2.9656084,-4.2320776,-0.036421116,-3.3407772,-3.0457432,-5.3036137,-2.9237976,-2.7222335,-1.6206313,-3.7233772,-2.6480877,-2.7947345,0.5128717,-0.40850118,-8.053513,-0.19471042,-2.7696395,-1.5438786,-1.2066196,-2.333814,0.57640404,-3.3519247,-2.2766924,-2.8126194,-4.2391715,-2.191683,-2.9159925,-3.1263175,-2.6557066
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,2,1.0245497,4.187041,2.1658704,5.688,2.880046,0.068663515,3.622793,0.9000823,2.7097561,3.4367387,-2.6736045,1.7305219,-2.995072,0.25831178,2.0474517,2.5218928,-2.1903343,2.100871,5.6368246,-1.5292858,2.9414802,2.2006707,1.5365813,0.881757,-1.5751915,2.53125,-0.51652545,-1.3999395,1.3414128,0.57197726,-1.4144925,2.0936573,-0.5386929,-1.3607277,-0.22446606,-3.1136067,0.9475122,2.472994,-0.39860436,2.557295,-4.5688143,0.17837736,-2.0068903,1.1866444,-0.032700893,0.9548374,0.15408199,-0.40139422,-0.29609635,-1.3647988,-3.5013525,2.2185917,-6.9697223,0.8813603,1.2232932,-1.4694679,-2.089215,0.6574598,3.522511,-0.7261516,0.14132023,4.3480215,2.8851469,-2.2544835,3.8413146,-1.5455289,0.26496175,0.45535022,-0.30420497,0.7982255,-2.7479448,1.9990743,1.9834144,-2.6427996,-3.99604
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,3,5.843506,10.105444,10.483686,9.777976,6.9167314,5.7580485,10.794412,7.0278196,8.57325,5.7886744,5.6962976,7.7989745,4.9838295,6.2483897,9.685247,8.347012,9.832268,5.591297,7.8393526,7.1648884,10.0322,6.0885463,8.27291,7.1000147,5.212656,5.3588204,5.277346,4.694583,5.504008,3.7963052,6.7689815,3.3898666,2.7173245,4.5573773,4.4196095,5.105551,5.630883,8.199622,2.8169415,6.3564343,8.025894,2.9368007,3.4418192,6.9977975,5.377259,3.5516849,4.4917555,9.339331,3.220562,4.211662,6.842289,5.6620793,4.5821147,7.2181287,4.5579104,8.97843,5.9502854,4.523585,5.1347446,4.197844,6.6462765,6.3633323,6.929302,5.9111853,2.8120556,5.942937,7.716459,5.09027,4.3577027,4.796146,4.434027,7.0660734,4.5904055,3.054388,3.4911125
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,4,11.627398,14.2771635,17.22765,15.168276,12.686832,13.8388405,14.321226,14.188486,13.124568,13.914086,12.693546,12.180207,13.164865,13.64422,15.21072,10.819252,13.971044,15.443104,13.641186,11.642113,14.285925,13.576934,14.00851,15.492763,15.91587,12.5624895,13.898993,11.161653,12.088674,11.623095,10.243859,11.949086,9.989359,10.753798,11.721216,10.087818,13.700198,12.612138,11.603509,13.512999,13.393455,10.316587,12.369194,13.636589,14.853377,14.318416,14.038445,13.770269,11.128233,10.910518,13.6150255,13.601826,11.235612,13.867349,13.760309,11.900819,11.584665,10.059603,10.882892,10.183556,11.755716,13.066342,12.549424,9.693814,9.196804,13.752827,14.712909,11.98236,12.155265,13.11927,8.263829,10.418768,11.087193,9.682878,8.332797
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,5,18.95785,19.07817,19.962734,19.885902,18.884047,18.461287,18.100782,21.211626,20.799603,19.37142,18.055317,18.679125,18.228262,21.21881,19.463692,18.642956,20.4622,19.199982,21.700672,16.00828,19.668953,16.166643,19.553825,22.011276,22.36929,18.138992,18.099394,16.219711,16.532238,17.445236,18.227625,18.244001,14.846752,16.644842,19.790749,15.216645,19.584066,17.93719,18.24238,18.13558,18.949005,18.547354,17.525444,18.859636,19.182028,15.027963,19.15743,18.298246,18.492416,17.514002,17.852476,18.49763,16.107769,19.956543,19.705479,16.819595,15.439368,15.785401,17.048351,16.585043,17.28674,17.33393,17.496603,18.55521,16.183905,17.388723,16.352045,20.125462,18.432117,17.614851,15.505956,15.599709,17.865084,17.095737,17.329062
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,6,23.636276,25.025204,23.715166,25.066824,24.08804,22.449772,24.352932,25.131075,24.167345,23.752594,23.626862,24.428986,22.15643,24.802555,22.906017,20.525974,25.475658,23.774727,23.31966,22.78566,22.967697,22.575888,23.528534,24.350279,22.758612,23.239878,21.311735,22.700918,22.726599,22.469374,23.301117,22.438011,21.935259,21.86695,23.059181,22.109076,23.888174,21.376003,22.719267,23.048143,23.220198,22.674902,22.179607,21.797693,23.26103,22.393072,23.549217,24.122686,22.074924,22.030409,21.91237,24.33449,21.690914,24.26273,22.831486,21.654566,22.175098,21.187979,23.085941,21.329817,21.663494,23.19515,20.80567,22.114687,22.782042,22.486525,22.365328,21.61757,21.634758,22.823729,20.408077,21.369022,22.556133,20.5449,22.357653
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,7,26.347746,25.746904,26.35759,26.718765,25.905117,27.24998,26.94002,26.360704,26.003355,26.06949,25.51733,25.84264,25.491098,25.378836,25.089945,24.93638,26.257914,24.903913,25.903175,25.206656,23.949873,26.140596,24.202986,25.35698,24.093788,24.478773,25.18873,25.809626,24.034143,25.648022,24.934967,23.829632,23.950123,24.086414,24.639776,23.820738,26.097353,23.401747,24.123009,25.597336,25.19136,25.349161,23.974363,24.665041,25.098545,25.37811,24.740421,25.757265,25.737925,24.763666,24.222118,25.024967,22.60963,24.360935,23.957947,24.121376,23.835957,24.42893,23.570219,23.820879,23.700006,24.118414,24.228186,25.280462,24.200222,23.875946,24.67365,24.753588,23.494638,24.364681,22.699762,24.830137,24.59175,23.496258,24.884218
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,8,25.601032,23.964037,22.888775,23.68502,25.052286,24.614147,24.773966,24.082617,23.383308,23.886225,23.942497,24.132025,24.392048,25.441284,23.609741,24.7914,24.028292,23.58837,24.46184,23.442135,23.344618,23.813423,24.537815,23.606695,23.534422,23.796923,23.913887,23.626259,22.92694,24.319489,24.701056,22.074427,22.042713,23.100418,24.275826,22.324072,22.959171,24.07995,22.140951,22.471382,25.301685,24.447483,22.917658,22.783533,23.246614,22.292007,23.144636,23.611572,23.716383,23.354841,21.960667,23.557629,20.533585,23.344131,25.175322,22.225233,22.5209,22.720058,22.455803,21.4258,23.076172,22.738817,22.151192,23.237907,23.645508,24.712622,22.18541,22.347366,22.216383,22.483341,21.632166,24.04505,22.60929,22.480293,22.738304
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,9,20.793188,19.853016,20.439955,21.51636,18.847044,21.584055,19.642546,20.092535,21.618675,18.407955,21.062647,21.013403,18.77676,20.165781,18.496763,19.898172,19.73703,19.09048,19.219118,20.713963,19.222366,19.057425,18.745972,18.988625,19.75977,19.69227,19.676516,19.34426,20.553762,18.618427,16.049782,19.32115,17.350895,18.469357,20.02338,18.400047,19.157463,19.610458,18.135868,18.654505,17.914785,19.84654,17.145752,18.458075,18.42389,18.598095,19.323296,18.467451,19.471884,18.857332,17.9881,18.272444,17.647924,17.354473,18.722687,17.52265,18.299555,19.046337,17.78361,17.260109,17.529049,18.408415,16.197233,20.061878,18.356955,21.110094,19.10383,18.992653,18.14724,17.667961,16.646591,19.243303,18.287037,19.363415,17.17716
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,10,15.428635,14.7694025,13.644796,12.373524,11.602096,14.291636,12.208284,14.885661,13.50453,14.52829,13.693252,14.341365,12.653468,13.613866,15.048002,11.930395,14.460286,10.8927,16.289965,13.779021,11.211538,13.941108,14.800076,14.135634,13.341946,13.703769,13.222129,13.319782,11.71375,12.306336,10.995516,10.443471,11.718878,11.064701,12.561999,13.09224,12.055669,10.692453,13.553611,11.859786,10.725868,11.71234,12.651084,10.9419365,13.330273,14.740856,13.081661,14.329432,13.104775,11.800747,9.776271,12.3950205,11.955361,12.23875,13.250407,13.806317,11.880837,11.12773,11.396854,14.610397,9.698063,14.049584,11.009641,10.942572,12.345434,14.48498,12.156435,11.648693,10.837321,11.739846,11.126327,11.457289,10.900578,15.258046,12.782845
