Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Country.Code,Indicator.Name,Indicator.Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.833029437,2.817674121,2.799054504,2.778967912,2.758929119,2.739246977,2.721527132,2.706205676,2.691997813,2.677910155,2.663022031,2.64957597,2.636573275,2.622514164,2.610026716,2.599851646,2.592648408,2.584489696,2.5707283,2.550177806,2.524547954,2.497970676,2.464833356,2.428189101,2.382116048,2.326972467,2.287618685,2.265334516,2.252168461,2.249542861,2.246573941,2.246163322,2.25392088,2.265066668,2.27406917,2.279803924,2.284294382,2.286469945,2.285878347,2.285350076,2.284807347,2.284846345,2.288833948,2.293912643,2.296647378,2.29941264,2.302380967,2.305711969,2.317614137,2.335292383,2.353431072,2.373882092,2.391984686,2.403284579,2.409162003,2.405815764,2.398989555,2.399817582,2.407092974,2.417753839,2.416953015,2.404058438,2.394339719,2.395139671
Cambodia,Asia,0.68,0.66,0.71,0.42,0.35,0.49,KHM,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.690990957,2.707208357,2.725902225,2.748238216,2.773493289,2.800180368,2.830472931,2.863807061,2.897708332,2.932306322,2.997961549,3.068870323,3.103163115,3.129717124,3.163388942,2.990744914,2.79636281,2.852829374,2.936417504,2.965617878,2.996599671,3.025490329,3.014857396,3.005349128,3.004794433,3.011812696,3.004555222,2.991017287,2.989662542,2.988597034,2.977805155,2.967488633,2.92820235,2.878342817,2.870368255,2.89231366,2.919237343,2.949555743,2.983847823,3.021407712,3.062792886,3.107019246,3.15365376,3.202778167,3.257240565,3.315379521,3.373474962,3.431787623,3.495459678,3.569495358,3.649154679,3.7327145,3.822558613,3.925786298,4.056176077,4.210245057,4.378875123,4.566140632,4.777361036,5.015740622,5.272591665,5.532191211,5.805860235,6.116837671
China,Asia,0.85,0.83,0.86,0.85,0.83,0.86,CHN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.967301626,3.883273162,3.825778595,3.756319255,3.685324658,3.642306138,3.630256273,3.642355712,3.664656742,3.687489736,3.712521342,3.743415944,3.777798059,3.821943686,3.884667567,3.954205153,4.018994581,4.088291394,4.17919841,4.286981173,4.389541594,4.48055791,4.56259996,4.640372711,4.72333377,4.81592531,4.908177979,4.990458226,5.0780249,5.185552101,5.295922015,5.397047374,5.514049225,5.661220753,5.816788792,5.980532271,6.146786052,6.315159279,6.512670364,6.72078989,6.920629217,7.121075184,7.317425377,7.502387745,7.666347191,7.825417455,7.996801589,8.158964215,8.303531862,8.450282029,8.61654916,8.816148032,9.049303432,9.320377287,9.633185443,10.02005367,10.45679874,10.94635566,11.48005332,12.02211581,12.59826196,13.14975327,13.72233545,14.26661153
India,Asia,0.61,0.58,0.64,0.57,0.53,0.6,IND,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.291464021,3.329064654,3.385369906,3.450237298,3.508184219,3.55053982,3.577399045,3.590134046,3.596909595,3.607890468,3.624713332,3.649822193,3.686205517,3.730871051,3.778778088,3.827192958,3.873631176,3.913166165,3.944332684,3.968269162,3.984675728,3.995323488,4.003416748,4.00990695,4.015224538,4.020972035,4.027811959,4.036383738,4.04747723,4.061814407,4.080536752,4.104088514,4.132031107,4.164176608,4.200377593,4.240553463,4.2848545,4.332566509,4.38349294,4.437660127,4.493683062,4.551883114,4.613991159,4.677712821,4.737673409,4.793042956,4.846329949,4.898343297,4.95067779,5.005686273,5.065987426,5.135396172,5.217438256,5.315839598,5.45741729,5.640294939,5.835516764,6.040795894,6.254069446,6.47202495,6.672320068,6.80246463,6.896442961,7.072109453
Iran,Asia,0.88,0.83,0.93,0.85,0.75,0.95,IRN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.29735993,4.191279403,4.08727917,3.990591809,3.907631603,3.836445464,3.777963045,3.731746283,3.693104615,3.65873248,3.626749381,3.599690609,3.577245746,3.555715018,3.531152669,3.500030001,3.464910725,3.42436202,3.375127637,3.325194376,3.279787658,3.214452801,3.152395422,3.117123085,3.10036057,3.104490579,3.128813577,3.173567863,3.231066259,3.290578222,3.325112622,3.355057553,3.407932114,3.489735577,3.582466759,3.664469939,3.753114215,3.844908812,3.933763948,4.022888373,4.111326398,4.196265096,4.30119267,4.4074178,4.491913239,4.569142205,4.645255306,4.729983414,4.819585961,4.914219696,5.019767133,5.144590194,5.286179141,5.435555438,5.602789922,5.787129673,6.003412314,6.253066347,6.518681296,6.805110385,7.107654162,7.375061819,7.622736364,7.934023175
Japan,Asia,0.73,0.59,0.86,0.73,0.59,0.86,JPN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.799269927,5.912461801,6.024575195,6.151432689,6.28863841,6.419842136,6.58850481,6.776360278,6.938408895,7.077092674,7.197698273,7.319658406,7.481323058,7.669650062,7.860290037,8.065660691,8.284509293,8.526135588,8.779879721,9.041566804,9.298720308,9.548345663,9.802460226,10.03802894,10.26499537,10.5413719,10.85517738,11.18385229,11.54111566,11.94187205,12.39966059,12.89817641,13.41227826,13.92312708,14.44034857,14.96316008,15.50878372,16.08128312,16.65705421,17.22375461,17.80488845,18.41939672,19.02458993,19.56877502,20.06106878,20.60441215,21.25729113,21.9407321,22.58175633,23.16588998,23.60053533,23.97777973,24.64745219,25.5814883,26.52698471,27.32820041,27.94592014,28.46399366,28.90165436,29.27981368,29.58317845,29.78708991,29.92456126,30.06763042
Malaysia,Asia,0.87,0.84,0.91,0.87,0.84,0.91,MYS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.605478593,2.538606353,2.506565782,2.497217301,2.4941984,2.49402817,2.493849061,2.489854506,2.491368767,2.514027473,2.56077034,2.631177448,2.725447917,2.828491401,2.922607276,3.002445269,3.068698822,3.119767466,3.161435063,3.20577991,3.255743459,3.312310833,3.375601882,3.43798184,3.493157708,3.540744771,3.580100317,3.610685966,3.637104184,3.666493979,3.700122643,3.738128636,3.780382894,3.823974045,3.865965501,3.90748064,3.945330889,3.973589095,3.999797437,4.038340795,4.100010242,4.185370328,4.288490664,4.397064983,4.495898216,4.585736298,4.675184622,4.768987964,4.873055596,4.992728904,5.112144828,5.232236983,5.370034195,5.523446599,5.692319809,5.876382706,6.074786232,6.288742182,6.518916637,6.760912333,7.011719852,7.250488985,7.502523372,7.78656471
Mongolia,Asia,0.88,0.83,0.92,0.88,0.83,0.92,MNG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.240806092,5.613187122,5.997615074,6.128940061,6.021238803,5.951250912,5.912737423,5.890684086,5.880744194,5.810742166,5.674794291,5.544400771,5.428917197,5.327108835,5.238888652,5.162545522,5.089941073,5.011141381,4.925526095,4.852188425,4.782510101,4.698684066,4.602488387,4.499109281,4.405680116,4.321332511,4.231077327,4.130815634,4.022888737,3.922318891,3.834770728,3.750574128,3.665626571,3.584552164,3.521491646,3.485574061,3.467091891,3.451338636,3.436128788,3.419350522,3.424345246,3.453428192,3.483540062,3.518364238,3.571702977,3.648913453,3.725725833,3.77975801,3.807451913,3.813159461,3.80739088,3.798483019,3.7910913,3.793960502,3.804383492,3.839060885,3.879794868,3.929969014,4.013949471,4.123137102,4.260283183,4.418715971,4.610671717,4.847386534
Myanmar,Asia,0.92,0.84,1,0,0,0,MMR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.480546688,3.508650523,3.535158588,3.561680445,3.591368423,3.624895715,3.662403228,3.704093728,3.747463222,3.787851664,3.823184646,3.855825875,3.88569439,3.913751301,3.941639294,3.968628218,3.99423109,4.016195991,4.036259879,4.060984871,4.091701909,4.128836043,4.172940607,4.215791485,4.25150682,4.283207247,4.313400439,4.341402857,4.368124638,4.399308838,4.436391099,4.479490227,4.528494273,4.580426654,4.633240255,4.685527717,4.739435349,4.794410804,4.847439195,4.895141908,4.935481607,4.969997061,4.999537438,5.025124193,5.046865079,5.065679983,5.083321299,5.101866068,5.116144669,5.137645667,5.174895469,5.22012045,5.271894036,5.332815146,5.434709439,5.57610101,5.727988973,5.890790262,6.069133123,6.26086487,6.454152183,6.628186734,6.815642858,7.033540458
Pakistan,Asia,0.58,0.56,0.61,0.65,0.61,0.68,PAK,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.720855836,3.624115681,3.539409966,3.466843961,3.407977611,3.362730206,3.331289545,3.313012736,3.305528693,3.305672878,3.31197777,3.312515434,3.314327149,3.326860424,3.341447872,3.358156165,3.376554655,3.395594864,3.414628821,3.430524115,3.438153701,3.439019287,3.439110182,3.442907545,3.452427122,3.46104438,3.464971355,3.464383822,3.460579159,3.456952305,3.454093177,3.452104274,3.455267659,3.458158549,3.457353253,3.455159036,3.452121235,3.45170754,3.453289448,3.457390094,3.461702823,3.467119902,3.479336529,3.49779309,3.520268432,3.547337602,3.579868622,3.616328619,3.65537301,3.694549475,3.730641911,3.765918877,3.8034454,3.840760513,3.874586766,3.906103911,3.94366647,3.992537099,4.050001402,4.1155596,4.174179163,4.221414284,4.273698453,4.34670787
