Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Domain.Code,Domain,Area.Code,Element.Code,Element,Item.Code,Item,Unit,Value,Flag,Flag.Description
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,RL,Land Use,2,7209,Share in Land area,6620,Cropland,%,12.19,E,Estimated value
Cambodia,Asia,0.68,0.66,0.71,0.42,0.35,0.49,RL,Land Use,115,7209,Share in Land area,6620,Cropland,%,18.73,E,Estimated value
China,Asia,0.85,0.83,0.86,0.85,0.83,0.86,RL,Land Use,351,7209,Share in Land area,6620,Cropland,%,12.81,E,Estimated value
India,Asia,0.61,0.58,0.64,0.57,0.53,0.6,RL,Land Use,100,7209,Share in Land area,6620,Cropland,%,56.5,E,Estimated value
Iran,Asia,0.88,0.83,0.93,0.85,0.75,0.95,RL,Land Use,102,7209,Share in Land area,6620,Cropland,%,10.25,E,Estimated value
Japan,Asia,0.73,0.59,0.86,0.73,0.59,0.86,RL,Land Use,110,7209,Share in Land area,6620,Cropland,%,14.09,E,Estimated value
Malaysia,Asia,0.87,0.84,0.91,0.87,0.84,0.91,RL,Land Use,131,7209,Share in Land area,6620,Cropland,%,17.72,E,Estimated value
Mongolia,Asia,0.88,0.83,0.92,0.88,0.83,0.92,RL,Land Use,141,7209,Share in Land area,6620,Cropland,%,0.73,E,Estimated value
Myanmar,Asia,0.92,0.84,1,0,0,0,RL,Land Use,28,7209,Share in Land area,6620,Cropland,%,16.49,E,Estimated value
Pakistan,Asia,0.58,0.56,0.61,0.65,0.61,0.68,RL,Land Use,165,7209,Share in Land area,6620,Cropland,%,40.56,E,Estimated value
South Korea,Asia,1,1,1,1,1,1,RL,Land Use,117,7209,Share in Land area,6620,Cropland,%,20.6,E,Estimated value
Sri Lanka,Asia,0.73,0.66,0.79,0.73,0.66,0.79,RL,Land Use,38,7209,Share in Land area,6620,Cropland,%,31.8,E,Estimated value
