"Country","Group","Prevalance..primary.","X95..CI.min","X95..CI.max","Prevalance..primary...secondary.","X95..CI.min.1","X95..CI.max.1","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"Afghanistan","Asia",0.82,0.79,0.86,0,0,0,"AFG","Population ages 0-14, total","SP.POP.0014.TO",3589290,3665076,3746296,3835639,3934872,4047409,4169591,4296185,4427899,4563993,4705422,4848645,4995574,5150747,5309220,5464733,5611221,5755555,5896064,5944156,5740461,5149800,4675918,4628135,4779805,4922083,4907729,4861986,4903210,5052384,5077301,5119303,5766047,6722019,7452377,7957593,8336155,8716812,9111376,9538092,9716430,9817923,10488288,11313831,11758412,12111730,12525733,12872747,13184652,13506299,13804200,14116918,14451010,14782614,15125207,15456438,15766736,16081817,16402090,16728622,17072920,17413008,17739100,18097715
"Cambodia","Asia",0.68,0.66,0.71,0.42,0.35,0.49,"KHM","Population ages 0-14, total","SP.POP.0014.TO",2454759,2512734,2569309,2622302,2670197,2715998,2761607,2806456,2849850,2891145,2925327,2957574,2997719,3033786,3047455,2959597,2767950,2610515,2533110,2525147,2574356,2654633,2755330,2870534,2997133,3128001,3264705,3408108,3561485,3735855,3934596,4150864,4392967,4639849,4837512,4963571,5038925,5084387,5000919,4893632,4869765,4839432,4807233,4773120,4741685,4712916,4683339,4658686,4635175,4615104,4609819,4623794,4663378,4703917,4732420,4762926,4792943,4818463,4837526,4849867,4857658,4860473,4854064,4839058
"China","Asia",0.85,0.83,0.86,0.85,0.83,0.86,"CHN","Population ages 0-14, total","SP.POP.0014.TO",269127117,264042597,266382491,277379376,288010168,296676572,305546238,311983980,318615079,326786440,334635111,342826464,349174328,355063879,362565690,369650831,375551391,376145088,369103709,360983471,354475740,348911568,346014143,341710844,334972495,329169987,325258816,324118877,323982230,324718637,327891901,330896251,332299991,333337420,333265842,331806471,329053545,324508713,319825879,315363294,309776041,302490513,293081480,283406060,274003025,263986211,256219252,251991436,249338892,247778966,246867722,246638895,247901125,249844959,251885241,253294944,254624623,256968903,257975287,257075507,254352475,249536785,243552723,236829237
"India","Asia",0.61,0.58,0.64,0.57,0.53,0.6,"IND","Population ages 0-14, total","SP.POP.0014.TO",180703655,186176468,191752234,197410631,202662755,207262141,211583830,215806472,220113069,224485936,228813995,233205723,237668277,242226936,246929635,251621410,256283882,260929754,265520937,270269035,275362558,280757182,286239853,291753466,297413051,303147852,308918441,314595875,320048218,325342205,330481929,335504756,340506986,345436744,350131218,354497916,358460047,362107706,365499728,368541209,371399589,374160274,376722116,378985211,380871016,382384784,383376618,383911555,384229660,384392935,384325879,383999879,383387682,382437090,380905172,378793176,376404880,373697370,370831170,367825260,364629264,361569242,358634249,355733024
"Iran","Asia",0.88,0.83,0.93,0.85,0.75,0.95,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan","Asia",0.73,0.59,0.86,0.73,0.59,0.86,"JPN","Population ages 0-14, total","SP.POP.0014.TO",27493397,27347642,26835246,26009547,25205548,24663501,24217677,23965568,24009634,24141920,24333092,24862420,25314562,25823134,26288932,26686321,26955002,27118851,27184739,27140621,26978492,26917514,26759546,26371736,25980900,25535938,24980234,24327904,23589549,22813037,22070284,21438200,20887913,20384722,19944347,19562139,19240525,18973055,18722896,18463330,18230489,18057111,17897800,17734692,17568561,17434426,17323931,17233947,17147195,17027903,16905743,16756081,16598820,16443186,16283609,16113192,15941793,15745852,15522442,15287198,15044891,14797709,14542937,14280675
"Malaysia","Asia",0.87,0.84,0.91,0.87,0.84,0.91,"MYS","Population ages 0-14, total","SP.POP.0014.TO",3589856,3732508,3870053,4000801,4124096,4231594,4322062,4401669,4472994,4538903,4600255,4656336,4707526,4759670,4814015,4867697,4921228,4976932,5036695,5102500,5178431,5266805,5368538,5481601,5602807,5729714,5860792,5993822,6123740,6248017,6372869,6504852,6644389,6789408,6937235,7083370,7223317,7354360,7471471,7572870,7693547,7828407,7939438,8023491,8081894,8117736,8132989,8131555,8107861,8057571,7990780,7934073,7896650,7866957,7842526,7822097,7802353,7783104,7766141,7748190,7727992,7709094,7694765,7691215
"Mongolia","Asia",0.88,0.83,0.92,0.88,0.83,0.92,"MNG","Population ages 0-14, total","SP.POP.0014.TO",372264,393416,414654,436433,459437,483489,507794,531343,552720,571056,587998,605387,623092,640956,658797,675954,691914,706298,719125,730214,740965,753062,766214,780380,795727,812580,831052,850309,869163,883924,893942,901939,907636,910498,910411,907854,903561,897529,889064,878311,862856,843559,824061,804083,784000,765180,750270,742098,741543,748304,759142,771551,787790,809528,836560,868271,903917,942783,984222,1026234,1060842,1085725,1103284,1111770
"Myanmar","Asia",0.92,0.84,1,0,0,0,"MMR","Population ages 0-14, total","SP.POP.0014.TO",8682966,8952011,9224954,9501215,9755822,9991569,10229413,10466698,10703192,10936067,11165354,11392339,11616284,11834261,12044882,12251390,12455648,12657250,12854525,13046920,13231778,13407343,13578692,13757050,13940126,14106452,14243201,14350261,14430469,14499605,14565943,14620555,14661888,14691470,14706251,14705013,14693236,14666801,14618235,14552041,14485250,14438192,14418998,14412763,14392430,14350566,14295371,14235871,14140787,14042461,13977493,13913681,13851340,13793429,13740910,13693291,13644887,13584092,13518635,13464501,13421839,13385964,13350169,13315701
"Pakistan","Asia",0.58,0.56,0.61,0.65,0.61,0.68,"PAK","Population ages 0-14, total","SP.POP.0014.TO",18674074,19222187,19809923,20453475,21158916,21917874,22707208,23503212,24299494,25090379,25881778,26652160,27427027,28237651,29058740,29895322,30753628,31643651,32577957,33581375,34706051,35968859,37332090,38758085,40221422,41753407,43378903,45079316,46839145,48642657,50478052,52326134,54094171,55799218,57494277,59143346,60721843,62190243,63573713,64912192,66255250,67571624,68753596,69806769,70780531,71658119,72472638,73325269,74260716,75256560,76306736,77377790,78410416,79385165,80268200,81067651,81796248,82479664,83180463,83908472,84681629,85480175,86230641,86921387
"South Korea","Asia",1,1,1,1,1,1,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
