Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,32.5346,33.0681,33.5471,34.0162,34.4942,34.9528,35.4531,35.924,36.4183,36.9101,37.4178,37.9233,38.4439,39.0029,39.5498,40.1003,40.6454,41.2278,40.2712,39.0861,39.6181,40.164,37.7661,38.1865,33.3289,33.5504,39.3962,39.8436,43.9579,45.1582,45.9672,46.6631,47.5955,51.4664,51.4945,52.5442,53.2433,53.6342,52.9431,54.8464,55.2978,55.7981,56.4538,57.3445,57.9436,58.3608,58.6844,59.1113,59.8515,60.3636,60.8508,61.4191,61.923,62.4167,62.5451,62.6587,63.1361,63.016,63.081,63.5645,62.5751,61.9824
Cambodia,Asia,0.68,0.66,0.71,0.42,0.35,0.49,KHM,42.3608,42.7923,43.316,43.8981,44.3979,44.7895,45.3626,45.5135,45.7934,46.2414,39.1286,39.5071,40.2237,40.0243,39.8028,11.9951,12.0128,28.9102,36.9823,42.2788,47.5696,48.18,48.7362,49.4851,50.2353,51.0406,51.5062,53.4541,54.2759,54.7976,55.4341,55.7927,56.0214,56.0803,56.0355,56.3076,56.3458,56.7434,57.0275,57.69,58.6253,59.9664,61.2262,62.5229,63.5524,64.2933,65.0593,65.7314,66.4698,67.4439,67.7123,68.4163,68.9149,69.3042,69.7364,69.8725,70.2244,70.5153,70.5609,70.6923,70.416,69.5835
China,Asia,0.85,0.83,0.86,0.85,0.83,0.86,CHN,33.2749,40.4683,50.8184,51.4082,52.1561,52.9118,53.6368,54.3512,55.0569,55.7382,56.607,57.5653,58.4184,59.3891,60.1683,60.917,61.7956,62.5379,63.2177,63.8649,64.4198,64.9755,65.4627,65.9045,66.3004,66.6434,66.9697,67.2876,67.5808,67.8378,68.0052,68.1688,68.7345,69.2164,69.5201,70.008,70.2659,70.672,71.1721,71.4188,71.8807,72.6061,72.985,73.3714,73.7477,74.1111,74.5037,74.7619,74.8719,75.3434,75.5991,75.9032,76.1923,76.4523,76.7173,76.9771,77.2177,77.2476,77.7444,77.968,78.0766,78.2107
India,Asia,0.61,0.58,0.64,0.57,0.53,0.6,IND,45.218,45.3985,45.6592,45.9363,46.184,44.98,45.3332,45.6736,47.471,47.8574,48.2407,48.6324,49.025,49.5395,50.2441,50.8123,51.3883,51.9086,52.492,53.0601,53.6114,54.1748,54.7322,55.2809,55.8157,56.3338,56.8352,57.3147,57.7772,58.2333,58.6516,59.0547,59.4524,59.8152,60.2158,60.5962,60.9841,61.3876,61.7919,62.2069,62.6693,63.0913,63.616,64.0942,64.5244,64.9955,65.4123,65.7884,66.149,66.5132,66.9086,67.359,67.8872,68.4598,69.0736,69.6363,70.1167,70.4672,70.7095,70.9098,70.1499,67.2398
Iran,Asia,0.88,0.83,0.93,0.85,0.75,0.95,IRN,43.9574,44.5501,44.2689,45.6193,46.1959,46.7441,47.4211,48.0339,48.1364,49.4375,50.2041,51.1241,51.6588,52.9455,53.8538,54.761,55.7,56.5769,55.9263,58.5504,58.5367,56.7148,57.734,58.7481,61.2196,61.8931,62.487,62.8233,63.4463,65.7175,64.3665,66.4589,66.7765,67.139,67.4684,67.7846,68.0696,68.359,68.73,69.2974,69.6909,69.9546,70.4454,69.8231,71.3703,71.8384,72.2761,72.772,72.6244,72.6979,73.0691,73.6786,74.186,74.4493,74.7825,75.1239,75.6,75.9712,76.195,76.1031,74.832,73.8749
Japan,Asia,0.73,0.59,0.86,0.73,0.59,0.86,JPN,67.6898,68.3417,68.6382,69.7172,70.1695,70.2305,71.0288,71.3776,71.649,71.9007,71.9874,72.8085,73.2413,73.4061,73.8343,74.3419,74.7463,75.3111,75.6424,76.1525,76.1261,76.5487,77.0593,77.0956,77.4965,77.7899,78.2035,78.622,78.5368,78.9708,78.9838,79.2519,79.2918,79.4342,79.8238,79.6702,80.3493,80.5718,80.6402,80.6079,81.1759,81.509,81.7953,81.8558,82.1309,82.012,82.3765,82.5544,82.6382,82.9742,82.9193,82.6756,83.1755,83.4107,83.6525,83.8928,84.0664,84.1976,84.2971,84.4258,84.6879,84.7839
Malaysia,Asia,0.87,0.84,0.91,0.87,0.84,0.91,MYS,56.5018,57.4344,58.4045,59.2601,60.0633,60.9502,61.3747,61.7969,62.1938,62.6438,63.1106,63.5836,64.083,64.6199,65.2091,65.7118,66.2771,66.8109,67.2849,67.7619,68.2449,68.8515,69.2402,69.5674,69.9368,70.318,70.4577,70.6665,70.8957,71.1171,71.3071,71.4417,71.5257,71.8256,72.1627,72.3838,72.3266,72.2836,72.1684,72.2828,72.7755,73.3439,73.5627,73.7964,73.8985,74.0959,74.1642,74.2109,74.2502,74.2266,74.4423,74.7459,74.944,75.0348,75.1459,75.0942,75.2888,75.4763,75.6444,75.7603,75.9378,74.8839
Mongolia,Asia,0.88,0.83,0.92,0.88,0.83,0.92,MNG,44.9838,46.0676,47.1087,48.0652,48.9213,49.6186,50.1864,50.8874,51.4568,52.0044,52.6783,53.3452,54.0161,54.631,55.215,55.65,55.4323,55.5014,55.5466,55.573,55.6401,55.693,55.777,56.2322,56.6869,56.8411,56.9114,57.3876,57.8696,58.3438,58.7649,59.2369,59.6413,60.038,60.4048,60.6125,60.305,60.8154,61.7647,62.5293,62.8821,63.2786,63.5178,64.2078,64.7955,64.8787,65.5128,65.9701,66.3821,66.7658,67.1822,67.4393,68.1114,68.5854,69.0472,69.4977,69.8647,70.2375,71.1992,71.8221,72.141,70.9754
Myanmar,Asia,0.92,0.84,1,0,0,0,MMR,43.9063,44.3852,45.0234,45.6364,46.4969,47.4604,48.369,49.2971,50.1008,50.3416,50.7126,51.2152,51.4975,51.8703,52.2464,52.5155,52.9816,53.3046,53.4739,53.9444,54.3619,54.646,54.9548,55.2016,55.4725,55.6421,55.8769,56.076,56.0847,56.5646,56.6607,57.0135,57.2511,57.6313,57.9564,58.259,58.9408,59.2429,59.7936,59.8806,60.1546,60.4159,60.7248,60.9803,61.2496,61.5985,61.8931,62.3709,56.5056,63.1547,63.3294,63.9007,64.1412,64.8148,65.0563,65.5613,65.685,65.843,66.4646,66.6104,66.797,65.6716
Pakistan,Asia,0.58,0.56,0.61,0.65,0.61,0.68,PAK,44.9318,45.7827,46.6081,47.6318,48.5949,49.4444,50.8418,51.9011,52.8978,53.7491,54.7599,50.3502,55.239,55.4856,55.4722,55.9048,56.1133,56.2523,56.737,57.1462,57.6056,58.0516,58.416,58.9469,59.3318,59.3631,59.4636,59.0663,59.3557,59.6198,60.0656,60.2594,60.1158,59.9342,60.1159,59.8784,60.3982,60.6034,61.0898,61.679,62.1018,62.4214,62.6264,62.843,63.0522,62.4657,63.7312,63.8517,64.036,64.14,64.4361,64.6482,64.7823,65.1495,65.2842,65.6971,65.8797,66.2972,66.482,66.7558,66.2695,66.0979
