"Country","Group","Prevalance..primary.","X95..CI.min","X95..CI.max","Prevalance..primary...secondary.","X95..CI.min.1","X95..CI.max.1","Code","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2000","2001","0"
"Afghanistan","Asia",0.82,0.79,0.86,0,0,0,"AFG",9.44,8.94,9.81,9.95,10.62,9.9,10.26,9.82,8.57,8.56,7.9,8.81,9.53,10.11,11.82,12.62,14.21,14.83,15.53,21.83,NA,NA,NA
"Cambodia","Asia",0.68,0.66,0.71,0.42,0.35,0.49,"KHM",7.23,6.94,7.08,6.85,6.12,4.91,6.6,7.58,6.91,7.5,7.26,7.1,6.7,6.19,6.12,5.65,6.07,6.85,7.11,7.53,6.54,7.01,NA
"China","Asia",0.85,0.83,0.86,0.85,0.83,0.86,"CHN",4.38,4.42,4.29,4.18,3.95,3.67,3.9,4.35,4.23,4.34,4.57,4.71,4.78,4.94,4.98,5.07,5.17,5.35,5.59,5.38,4.51,4.25,NA
"India","Asia",0.61,0.58,0.64,0.57,0.53,0.6,"IND",4.24,4.01,3.96,3.79,3.63,3.52,3.51,3.49,3.27,3.25,3.33,3.75,3.62,3.6,3.5,2.94,2.86,2.95,3.34,3.28,4.03,4.26,NA
"Iran","Asia",0.88,0.83,0.93,0.85,0.75,0.95,"IRN",4.65,4.96,5.13,5.3,5.16,4.91,5.04,6.11,6.29,6.1,6.12,5.55,6.35,7.53,7.99,7.83,7.74,6.27,5.4,5.77,4.72,5.16,NA
"Japan","Asia",0.73,0.59,0.86,0.73,0.59,0.86,"JPN",7.35,7.49,7.54,7.66,7.69,7.78,8.09,8.96,9.06,10.49,10.67,10.67,10.73,10.75,10.66,10.66,10.74,10.97,11,10.82,7.03,7.24,NA
"Malaysia","Asia",0.87,0.84,0.91,0.87,0.84,0.91,"MYS",2.67,2.92,2.86,2.79,3.11,3.07,3.01,3.26,3.16,3.31,3.46,3.51,3.71,3.82,3.7,3.71,3.76,3.84,4.08,4.38,2.51,2.68,NA
"Mongolia","Asia",0.88,0.83,0.92,0.88,0.83,0.92,"MNG",5.19,4.1,4.16,3.76,3.75,4.08,4.56,4.46,3.74,3.59,3.86,4.09,4.21,4.23,4.58,4.34,4.53,4.49,4.67,6.91,5.7,5.05,NA
"Myanmar","Asia",0.92,0.84,1,0,0,0,"MMR",2.58,2.38,2.32,2.33,2.25,2.02,2.11,2.16,1.96,1.93,2.41,3.2,4.39,5.48,5.11,5.08,4.9,4.71,4.62,5.63,2,2.15,NA
"Pakistan","Asia",0.58,0.56,0.61,0.65,0.61,0.68,"PAK",2.66,2.3,2.22,2.55,2.86,2.82,2.71,2.47,2.4,2.14,2.2,2.4,2.46,2.46,2.57,2.79,2.83,2.85,2.95,2.91,2.71,2.55,NA
