"Country","Group","Prevalance..primary.","X95..CI.min","X95..CI.max","Prevalance..primary...secondary.","X95..CI.min.1","X95..CI.max.1","SoybeanProduction2022","SoybeanProduction2021","SoybeanProduction2020","SoybeanProduction2019","SoybeanProduction2018"
"Afghanistan","Asia",0.82,0.79,0.86,0,0,0,0,0,0,0,0
"Cambodia","Asia",0.68,0.66,0.71,0.42,0.35,0.49,56436,63024,47497,42100,91800
"China","Asia",0.85,0.83,0.86,0.85,0.83,0.86,20285000,16404194,19604447,18104776,15971504
"India","Asia",0.61,0.58,0.64,0.57,0.53,0.6,12986720,12610300,11225850,13267520,10932970
"Iran","Asia",0.88,0.83,0.93,0.85,0.75,0.95,210000,2e+05,190000,180000,160000
"Japan","Asia",0.73,0.59,0.86,0.73,0.59,0.86,242800,246500,218900,217800,211300
"Malaysia","Asia",0.87,0.84,0.91,0.87,0.84,0.91,0,0,0,0,0
"Mongolia","Asia",0.88,0.83,0.92,0.88,0.83,0.92,0,0,0,0,0
"Myanmar","Asia",0.92,0.84,1,0,0,0,131223,133664,135132,141939,143717
"Pakistan","Asia",0.58,0.56,0.61,0.65,0.61,0.68,9,48,201,15,28
"South Korea","Asia",1,1,1,1,1,1,129925,110781,80926,105340,89410
"Sri Lanka","Asia",0.73,0.66,0.79,0.73,0.66,0.79,3842,3794,7879,2197,2500
"Taiwan","Asia",0.88,0.79,0.97,0,0,0,5000,4194,4447,4776,4404
"Thailand","Asia",0.84,0.79,0.9,0.38,0.23,0.54,20802,21234,22800,26283,41165
"Vietnam","Asia",1,1,1,1,1,1,52146,59138,65405,77263,81348
"Australia","Oceania",0.44,0.35,0.53,0.44,0.35,0.53,57200,40219,17323,15136,28903
"New Zealand","Oceania",0.1,0.08,0.11,0.08,0.07,0.1,0,0,0,0,0
"Papua New Guinea","Oceania",0.91,0.87,0.96,0.88,0.81,0.96,0,0,0,0,0
"Solomon Islands","Oceania",1,1,1,0,0,0,0,0,0,0,0
"Armenia","Eastern Europe",0.98,0.96,1,0,0,0,0,0,0,0,0
"Azerbaijan","Eastern Europe",0.96,0.91,1.01,0,0,0,30,30,29,30,29
"Kazakhstan","Eastern Europe",0.75,0.65,0.84,0.75,0.64,0.84,250385,237845,260639,282185,255437
