Country,Code,Year,"Physicians (per 1,000 people)","GDP per capita, PPP (constant 2017 international $)",Population (historical),Continent,time,time,time,time
Afghanistan,AFG,2021,0.254,1968.341,40000411,Asia,2021,2015,2020,2020
Albania,ALB,2021,1.883,13278.435,2849643,Europe,2021,2015,2020,2020
Algeria,DZA,2021,1.732,11725.878,44761101,Africa,2021,2015,2018,2018
Angola,AGO,2021,0.211,6878.59,34532427,Africa,2021,2015,2018,2018
Argentina,ARG,2021,3.895,19694.56,45312283,South America,2021,2015,2020,2020
Australia,AUS,2021,4.102,48651.734,25956416,Oceania,2021,2015,2020,2020
Austria,AUT,2021,5.459,53817.305,8967053,Europe,2021,2015,2021,2021
Azerbaijan,AZE,2021,3.111,14442.041,10234373,Asia,2021,2015,2019,2019
Bangladesh,BGD,2021,0.67,5911.013,167658855,Asia,2021,2015,2021,2021
Belarus,BLR,2021,4.434,19288.041,9251367,Europe,2021,2015,2019,2019
Belgium,BEL,2021,6.257,52174.906,11570842,Europe,2021,2015,2021,2021
Belize,BLZ,2021,1.081,8719.991,395356,North America,2021,2015,2018,2018
Benin,BEN,2021,0.062,3156.4387,13413423,Africa,2021,2015,2019,2019
Bhutan,BTN,2021,0.56,11595.684,775451,Asia,2021,2015,2021,2021
Botswana,BWA,2021,0.348,14961.831,2401449,Africa,2021,2015,2018,2018
Brazil,BRA,2021,2.142,14735.582,209550291,South America,2021,2015,2021,2021
Brunei,BRN,2021,1.913,60127.023,451723,Asia,2021,2015,2021,2021
Bulgaria,BGR,2021,4.168,22196.02,6877222,Europe,2021,2015,2018,2018
Burkina Faso,BFA,2021,0.091,2106.0361,21995249,Africa,2021,2015,2019,2019
Burundi,BDI,2021,0.065,714.0667,12965487,Africa,2021,2015,2021,2021
Cambodia,KHM,2021,0.214,4464.2944,16974308,Asia,2021,2015,2019,2019
Cameroon,CMR,2021,0.124,3689.359,26915764,Africa,2021,2015,2021,2021
Canada,CAN,2021,2.464,48356.332,38454058,North America,2021,2015,2021,2021
Cape Verde,CPV,2021,0.791,7314.3013,516655,Africa,2021,2015,2018,2018
Central African Republic,CAF,2021,0.066,854.64746,5112102,Africa,2021,2015,2018,2018
Chad,TCD,2021,0.058,1425.4945,17828274,Africa,2021,2015,2021,2021
Chile,CHL,2021,2.973,25412.752,19456323,South America,2021,2015,2021,2021
China,CHN,2021,2.387,16296.609,1426437276,Asia,2021,2015,2020,2020
Colombia,COL,2021,2.362,14661.213,51188174,South America,2021,2015,2021,2021
Comoros,COM,2021,0.283,3294.832,818178,Africa,2021,2015,2018,2018
Congo,COG,2021,0.1,4144.949,5892186,Africa,2021,2015,2018,2018
Costa Rica,CRI,2021,2.77,21220.162,5059992,North America,2021,2015,2021,2021
Cote d'Ivoire,CIV,2021,0.16,5132.342,29639735,Africa,2021,2015,2019,2019
Croatia,HRV,2021,3.466,29412.422,3924607,Europe,2021,2015,2019,2019
Cyprus,CYP,2021,5.375,43417.27,1317312,Europe,2021,2015,2021,2021
Czechia,CZE,2021,5.469,40744.457,10530683,Europe,2021,2015,2021,2021
Democratic Republic of Congo,COD,2021,0.362,1048.2465,99148931,Africa,2021,2015,2018,2018
Denmark,DNK,2021,4.264,56813.965,5856773,Europe,2021,2015,2019,2019
Dominica,DMA,2021,1.116,11849.302,67223,North America,2021,2015,2018,2018
Dominican Republic,DOM,2021,1.433,18171.06,11123480,North America,2021,2015,2019,2019
East Timor,TLS,2021,0.767,4861.6934,1350142,Asia,2021,2015,2020,2020
Egypt,EGY,2021,0.709,11780.962,110957004,Africa,2021,2015,2019,2019
El Salvador,SLV,2021,2.913,9190.174,6255781,North America,2021,2015,2021,2021
Estonia,EST,2021,3.863,35883.266,1331750,Europe,2021,2015,2020,2020
Eswatini,SWZ,2021,0.14,8290.409,1206599,Africa,2021,2015,2020,2020
Ethiopia,ETH,2021,0.104,2253.2358,122138590,Africa,2021,2015,2020,2020
