Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,3,Albania,5510,Production,236,Soya beans,t,520.13,E,Estimated value
QCL,Crops and livestock products,7,Angola,5510,Production,236,Soya beans,t,14529.21,E,Estimated value
QCL,Crops and livestock products,9,Argentina,5510,Production,236,Soya beans,t,43410872.57,E,Estimated value
QCL,Crops and livestock products,10,Australia,5510,Production,236,Soya beans,t,46836.35,E,Estimated value
QCL,Crops and livestock products,11,Austria,5510,Production,236,Soya beans,t,112033.26,E,Estimated value
QCL,Crops and livestock products,52,Azerbaijan,5510,Production,236,Soya beans,t,43.13,E,Estimated value
QCL,Crops and livestock products,16,Bangladesh,5510,Production,236,Soya beans,t,62089.17,E,Estimated value
QCL,Crops and livestock products,23,Belize,5510,Production,236,Soya beans,t,5238.57,E,Estimated value
QCL,Crops and livestock products,53,Benin,5510,Production,236,Soya beans,t,100486.27,E,Estimated value
QCL,Crops and livestock products,18,Bhutan,5510,Production,236,Soya beans,t,518.38,E,Estimated value
QCL,Crops and livestock products,19,Bolivia (Plurinational State of),5510,Production,236,Soya beans,t,2226254.39,E,Estimated value
QCL,Crops and livestock products,80,Bosnia and Herzegovina,5510,Production,236,Soya beans,t,13438.47,E,Estimated value
QCL,Crops and livestock products,21,Brazil,5510,Production,236,Soya beans,t,77784147.48,E,Estimated value
QCL,Crops and livestock products,27,Bulgaria,5510,Production,236,Soya beans,t,5375.87,E,Estimated value
QCL,Crops and livestock products,233,Burkina Faso,5510,Production,236,Soya beans,t,30276.46,E,Estimated value
QCL,Crops and livestock products,29,Burundi,5510,Production,236,Soya beans,t,2369.15,E,Estimated value
QCL,Crops and livestock products,115,Cambodia,5510,Production,236,Soya beans,t,90099.41,E,Estimated value
QCL,Crops and livestock products,32,Cameroon,5510,Production,236,Soya beans,t,29729.43,E,Estimated value
QCL,Crops and livestock products,33,Canada,5510,Production,236,Soya beans,t,4655251.61,E,Estimated value
QCL,Crops and livestock products,40,Chile,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,351,China,5510,Production,236,Soya beans,t,15292118.11,E,Estimated value
QCL,Crops and livestock products,41,"China, mainland",5510,Production,236,Soya beans,t,15290451.91,E,Estimated value
QCL,Crops and livestock products,214,"China, Taiwan Province of",5510,Production,236,Soya beans,t,1666.19,E,Estimated value
QCL,Crops and livestock products,44,Colombia,5510,Production,236,Soya beans,t,81214.36,E,Estimated value
QCL,Crops and livestock products,48,Costa Rica,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,107,C?te d'Ivoire,5510,Production,236,Soya beans,t,823.38,E,Estimated value
QCL,Crops and livestock products,98,Croatia,5510,Production,236,Soya beans,t,153177,E,Estimated value
QCL,Crops and livestock products,49,Cuba,5510,Production,236,Soya beans,t,1000,E,Estimated value
QCL,Crops and livestock products,50,Cyprus,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,167,Czechia,5510,Production,236,Soya beans,t,20711.62,E,Estimated value
QCL,Crops and livestock products,116,Democratic People's Republic of Korea,5510,Production,236,Soya beans,t,307800.72,E,Estimated value
QCL,Crops and livestock products,250,Democratic Republic of the Congo,5510,Production,236,Soya beans,t,19124.39,E,Estimated value
QCL,Crops and livestock products,54,Denmark,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,58,Ecuador,5510,Production,236,Soya beans,t,59494.37,E,Estimated value
QCL,Crops and livestock products,59,Egypt,5510,Production,236,Soya beans,t,34210.74,E,Estimated value
QCL,Crops and livestock products,60,El Salvador,5510,Production,236,Soya beans,t,4348.29,E,Estimated value
QCL,Crops and livestock products,63,Estonia,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,238,Ethiopia,5510,Production,236,Soya beans,t,61166.1,E,Estimated value
QCL,Crops and livestock products,67,Finland,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,68,France,5510,Production,236,Soya beans,t,233940.12,E,Estimated value
QCL,Crops and livestock products,74,Gabon,5510,Production,236,Soya beans,t,3334.12,E,Estimated value
QCL,Crops and livestock products,73,Georgia,5510,Production,236,Soya beans,t,2301.32,E,Estimated value
QCL,Crops and livestock products,79,Germany,5510,Production,236,Soya beans,t,27869.57,E,Estimated value
QCL,Crops and livestock products,81,Ghana,5510,Production,236,Soya beans,t,154344,E,Estimated value
QCL,Crops and livestock products,84,Greece,5510,Production,236,Soya beans,t,2219.44,E,Estimated value
QCL,Crops and livestock products,89,Guatemala,5510,Production,236,Soya beans,t,37077.17,E,Estimated value
QCL,Crops and livestock products,91,Guyana,5510,Production,236,Soya beans,t,0,E,Estimated value
