Country,SoybeanProduction2022,SoybeanProduction2021,SoybeanProduction2020,SoybeanProduction2019,SoybeanProduction2018
India,12986720,12610300,11225850,13267520,10932970
China,20285000,16404194,19604447,18104776,15971504
United States,116377000,121527780,114748940,96667090,120514490
Indonesia,301000,215000,291000,424000,953571
Pakistan,9,48,201,15,28
Nigeria,1060000,1166050,1262280,800000,660000
Brazil,120701031,134799179,121820949,114316829,117912450
Bangladesh,98646,91176,104761,110785,98699
Russia,6003153,4759908,4307593,4359956,4026850
Ethiopia,190000,185522,208676,125623,149455
Mexico,241371,288203,246019,232680,324011
Japan,242800,246500,218900,217800,211300
Egypt,38000,62586,36420,36260,46997
Philippines,626,407,554,659,658
DR Congo,27007,26336,25682,25044,24427
Vietnam,52146,59138,65405,77263,81348
Iran,210000,200000,190000,180000,160000
Turkey,155000,182000,155225,150000,140000
Germany,120500,106600,90500,84100,58700
Thailand,20802,21234,22800,26283,41165
Tanzania,41069,75000,45000,22953,21321
France,375820,439350,406810,428530,398480
South Africa,1148300,1897000,1245500,1170345,1540000
Italy,943400,923470,1005630,1042830,1186350
Kenya,2000,2281,2396,2396,2398
Myanmar,131223,133664,135132,141939,143717
Colombia,141987,122491,119412,114056,92231
South Korea,129925,110781,80926,105340,89410
Uganda,140000,265870,160000,126000,107624
Spain,3790,4770,4620,5170,4350
Iraq,33,34,33,33,35
Argentina,43861066,46217911,48780407,55263891,37787927
Canada,6543158,6224029,6358500,6145000,7416600
Poland,43780,20970,15960,15540,10390
Morocco,1000,1000,1000,1000,1000
Angola,37374,37317,37961,37350,35266
Ukraine,3443800,3493200,2797670,3698710,4460770
Uzbekistan,34862,29473,7460,10858,11399
Mozambique,50000,115000,75000,55000,55000
Ghana,200000,190000,182000,180000,176700
Peru,1596,1683,1534,1475,1530
Madagascar,46,47,47,47,47
Ivory Coast,575,573,557,593,570
Nepal,35138,30648,34544,31567,27681
Cameroon,97703,110043,93192,65190,59681
Venezuela,6091,7580,6736,4584,11951
Australia,57200,40219,17323,15136,28903
North Korea,180000,190000,229892,263920,135280
Syria,2350,4458,6227,2086,1727
Mali,20070,15904,14685,10440,6693
Burkina Faso,152540,106675,98513,51708,31314
Taiwan,5000,4194,4447,4776,4404
Sri Lanka,3842,3794,7879,2197,2500
Malawi,220000,264497,210000,180000,175475
Zambia,475353,411115,296866,281389,302720
Kazakhstan,250385,237845,260639,282185,255437
Romania,258530,367740,340820,440120,492680
Guatemala,43000,42000,41000,39000,38000
Ecuador,29454,20077,27238,39515,25504
Cambodia,56436,63024,47497,42100,91800
Zimbabwe,51408,54404,59656,23043,69688
Benin,306198,291279,253954,257000,221977
Rwanda,34056,26857,23755,24526,22809
Burundi,2410,2427,2498,2564,2387
Bolivia,3457144,3318169,2829356,2990845,2942131
Cuba,1000,1000,,,
Honduras,1619,1645,1623,2033,2180
Czech Republic,65540,51460,33020,27840,25260
Tajikistan,21,20,20,21,21
Azerbaijan,30,30,29,30,29
Greece,680,1230,1840,3720,2520
Hungary,134470,156580,165760,169570,181240
Togo,236450,207604,154545,124638,92373
Austria,248420,237830,204860,217780,186490
Switzerland,6175,5832,5247,5350,3740
Laos,14772,14481,14594,12172,8380
Kyrgyzstan,3076,2816,2371,2835,2872
Paraguay,4532103,10537080,11024460,8520350,11045971
Nicaragua,10000,10000,10000,10000,5693
Bulgaria,10180,2810,6200,7570,4730
Serbia,398556,540205,751578,700502,645607
El Salvador,5205,5201,5229,5185,5189
Liberia,3348,3341,3362,3342,3319
Slovakia,98760,165160,132200,119660,106960
Panama,98,98,98,99,95
Croatia,194770,227870,266010,244280,245190
Georgia,3000,3000,4000,2000,2000
Uruguay,647830,1707000,1990000,2828000,1334000
Bosnia and Herzegovina,42642,24883,37202,23753,23332
Moldova,32400,50500,33360,64239,57684
Lithuania,2290,2230,2560,2310,3450
Albania,686,373,441,605,744
Gabon,3932,3945,3936,3916,3981
Slovenia,5340,4810,5010,4240,5330
North Macedonia,73,50,50,65,64
Timor-Leste,821,362,852,868,888
Bhutan,58,90,234,171,107
Luxembourg,20,20,30,,
Suriname,4,5,5,11,7
Belize,27135,17308,13670,7819,11776
