Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
RL,Land Use,2,Afghanistan,7209,Share in Land area,6620,Cropland,%,12.19,E,Estimated value
RL,Land Use,3,Albania,7209,Share in Land area,6620,Cropland,%,24.36,E,Estimated value
RL,Land Use,4,Algeria,7209,Share in Land area,6620,Cropland,%,3.27,E,Estimated value
RL,Land Use,5,American Samoa,7209,Share in Land area,6620,Cropland,%,11.01,E,Estimated value
RL,Land Use,6,Andorra,7209,Share in Land area,6620,Cropland,%,1.97,E,Estimated value
RL,Land Use,7,Angola,7209,Share in Land area,6620,Cropland,%,2.99,E,Estimated value
RL,Land Use,8,Antigua and Barbuda,7209,Share in Land area,6620,Cropland,%,12.43,E,Estimated value
RL,Land Use,9,Argentina,7209,Share in Land area,6620,Cropland,%,11.03,E,Estimated value
RL,Land Use,1,Armenia,7209,Share in Land area,6620,Cropland,%,17.57,E,Estimated value
RL,Land Use,22,Aruba,7209,Share in Land area,6620,Cropland,%,11.11,E,Estimated value
RL,Land Use,10,Australia,7209,Share in Land area,6620,Cropland,%,2.85,E,Estimated value
RL,Land Use,11,Austria,7209,Share in Land area,6620,Cropland,%,18.58,E,Estimated value
RL,Land Use,52,Azerbaijan,7209,Share in Land area,6620,Cropland,%,25.83,E,Estimated value
RL,Land Use,12,Bahamas,7209,Share in Land area,6620,Cropland,%,0.93,E,Estimated value
RL,Land Use,13,Bahrain,7209,Share in Land area,6620,Cropland,%,7.81,E,Estimated value
RL,Land Use,16,Bangladesh,7209,Share in Land area,6620,Cropland,%,69.23,E,Estimated value
RL,Land Use,14,Barbados,7209,Share in Land area,6620,Cropland,%,34.86,E,Estimated value
RL,Land Use,57,Belarus,7209,Share in Land area,6620,Cropland,%,29.05,E,Estimated value
RL,Land Use,255,Belgium,7209,Share in Land area,6620,Cropland,%,28.41,E,Estimated value
RL,Land Use,15,Belgium-Luxembourg,7209,Share in Land area,6620,Cropland,%,27.86,E,Estimated value
RL,Land Use,23,Belize,7209,Share in Land area,6620,Cropland,%,3.48,E,Estimated value
RL,Land Use,53,Benin,7209,Share in Land area,6620,Cropland,%,19.47,E,Estimated value
RL,Land Use,17,Bermuda,7209,Share in Land area,6620,Cropland,%,6.1,E,Estimated value
RL,Land Use,18,Bhutan,7209,Share in Land area,6620,Cropland,%,3.21,E,Estimated value
RL,Land Use,19,Bolivia (Plurinational State of),7209,Share in Land area,6620,Cropland,%,2.79,E,Estimated value
RL,Land Use,80,Bosnia and Herzegovina,7209,Share in Land area,6620,Cropland,%,21.28,E,Estimated value
RL,Land Use,20,Botswana,7209,Share in Land area,6620,Cropland,%,0.6,E,Estimated value
RL,Land Use,21,Brazil,7209,Share in Land area,6620,Cropland,%,6.32,E,Estimated value
RL,Land Use,239,British Virgin Islands,7209,Share in Land area,6620,Cropland,%,17.74,E,Estimated value
RL,Land Use,26,Brunei Darussalam,7209,Share in Land area,6620,Cropland,%,1.99,E,Estimated value
RL,Land Use,27,Bulgaria,7209,Share in Land area,6620,Cropland,%,36.61,E,Estimated value
RL,Land Use,233,Burkina Faso,7209,Share in Land area,6620,Cropland,%,17.28,E,Estimated value
RL,Land Use,29,Burundi,7209,Share in Land area,6620,Cropland,%,50.1,E,Estimated value
RL,Land Use,35,Cabo Verde,7209,Share in Land area,6620,Cropland,%,11.29,E,Estimated value
RL,Land Use,115,Cambodia,7209,Share in Land area,6620,Cropland,%,18.73,E,Estimated value
RL,Land Use,32,Cameroon,7209,Share in Land area,6620,Cropland,%,14.7,E,Estimated value
RL,Land Use,33,Canada,7209,Share in Land area,6620,Cropland,%,4.42,E,Estimated value
RL,Land Use,36,Cayman Islands,7209,Share in Land area,6620,Cropland,%,2.92,E,Estimated value
RL,Land Use,37,Central African Republic,7209,Share in Land area,6620,Cropland,%,3.14,E,Estimated value
RL,Land Use,39,Chad,7209,Share in Land area,6620,Cropland,%,2.91,E,Estimated value
RL,Land Use,259,Channel Islands,7209,Share in Land area,6620,Cropland,%,19.5,E,Estimated value
RL,Land Use,40,Chile,7209,Share in Land area,6620,Cropland,%,3.99,E,Estimated value
RL,Land Use,351,China,7209,Share in Land area,6620,Cropland,%,12.81,E,Estimated value
