Country,Group,Rep_pop,FST
Afghanistan,Asia,Iranian,0.02
Cambodia,Asia,Mon Khmer,0.15
China,Asia,S. Chinese,0.13
India,Asia,Indian,0.03
Iran,Asia,Iranian,0.02
Japan,Asia,Japanese,0.12
Malaysia,Asia,Malaysian,0.16
Mongolia,Asia,Mongol Tungus,0.07
Myanmar,Asia,Mon Khmer,0.15
Pakistan,Asia,Indian,0.03
South Korea,Asia,Korean,0.09
Sri Lanka,Asia,Indian,0.03
Taiwan,Asia,S. Chinese,0.13
Thailand,Asia,Thai,0.13
Vietnam,Asia,Mon Khmer,0.15
Australia,Oceania,Australian,0.14
New Zealand,Oceania,Polynesian,0.12
Papua New Guinea,Oceania,New Guinean,0.16
Solomon Islands,Oceania,Melanesian,0.15
Armenia,Eastern Europe,Near Eastern,0.02
Azerbaijan,Eastern Europe,Near Eastern,0.02
Kazakhstan,Eastern Europe,N. Turkic,0.06
Russia,Eastern Europe,Uralic,0.08
Ukraine,Eastern Europe,Near Eastern,0.02
Uzbekistan,Eastern Europe,N. Turkic,0.06
Czech Republic,Former Soviet Republics,Basque,0.02
Estonia,Former Soviet Republics,Basque,0.02
Hungary,Former Soviet Republics,Basque,0.02
Poland,Former Soviet Republics,Basque,0.02
Brazil,America,S. American,0.13
Chile,America,S. American,0.13
Colombia,America,C. Amerind,0.13
Mexico,America,C. Amerind,0.13
Uruguay,America,S. American,0.13
Canada,America,N. American,0.09
United States,America,N. American,0.09
Cyprus,Middle East,Greek,0.02
Iraq,Middle East,Iranian,0.02
Israel,Middle East,Near Eastern,0.02
Jordan,Middle East,Near Eastern,0.02
Kuwait,Middle East,Near Eastern,0.02
Lebanon,Middle East,Near Eastern,0.02
Oman,Middle East,Iranian,0.02
Saudi Arabia,Middle East,Near Eastern,0.02
Syria,Middle East,Near Eastern,0.02
Turkey,Middle East,Near Eastern,0.02
Yemen,Middle East,Near Eastern,0.02
Algeria,Northern Africa,Berber,0.03
Egypt,Northern Africa,Berber,0.03
Morocco,Northern Africa,Berber,0.03
Tunisia,Northern Africa,Berber,0.03
Angola,"Africa (southern, eastern, western)",Bantu,0.17
Botswana,"Africa (southern, eastern, western)",Bantu,0.17
Cameroon,"Africa (southern, eastern, western)",Bantu,0.17
Democratic Republic of the Congo,"Africa (southern, eastern, western)",Bantu,0.17
Ethiopia,"Africa (southern, eastern, western)",E. African,0.09
Gabon,"Africa (southern, eastern, western)",Bantu,0.17
Ghana,"Africa (southern, eastern, western)",W. African,0.15
Kenya,"Africa (southern, eastern, western)",E. African,0.09
Malawi,"Africa (southern, eastern, western)",E. African,0.09
Mozambique,"Africa (southern, eastern, western)",E. African,0.09
Namibia,"Africa (southern, eastern, western)",Bantu,0.17
Niger,"Africa (southern, eastern, western)",E. African,0.09
Nigeria,"Africa (southern, eastern, western)",W. African,0.15
Rwanda,"Africa (southern, eastern, western)",Bantu,0.17
Senegal,"Africa (southern, eastern, western)",W. African,0.15
Somalia,"Africa (southern, eastern, western)",E. African,0.09
South Africa,"Africa (southern, eastern, western)",Bantu,0.17
Sudan,"Africa (southern, eastern, western)",E. African,0.09
Tanzania,"Africa (southern, eastern, western)",E. African,0.09
Uganda,"Africa (southern, eastern, western)",E. African,0.09
Zambia,"Africa (southern, eastern, western)",E. African,0.09
Austria,"Europe (western, southern, northern)",Sardinian,0.03
Belgium,"Europe (western, southern, northern)",Sardinian,0.03
Denmark,"Europe (western, southern, northern)",Danish,0
Finland,"Europe (western, southern, northern)",Lapp,0.03
France,"Europe (western, southern, northern)",Basque,0.02
Germany,"Europe (western, southern, northern)",Basque,0.02
Greece,"Europe (western, southern, northern)",Greek,0.02
Ireland,"Europe (western, southern, northern)",English,0
Italy,"Europe (western, southern, northern)",Italian,0.01
Netherlands,"Europe (western, southern, northern)",Basque,0
Norway,"Europe (western, southern, northern)",Danish,0
Portugal,"Europe (western, southern, northern)",Basque,0.02
Spain,"Europe (western, southern, northern)",Basque,0.02
Sweden,"Europe (western, southern, northern)",Danish,0
United Kingdom,"Europe (western, southern, northern)",English,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
